authorId,name,paperCnt,lastPub,mostPub,pubPerYearAvg,topic,activity
77,S.A.Bulgadaev,8,2000,1999,4,0,2
78,L. Tedesco,1,1999,1999,1,1,0
79,J.A. Santiago,1,2002,2002,1,0,0
80,Takeshi Inagaki,1,2001,2001,1,1,0
81,Riccardo Guida,1,2001,2001,1,0,0
82,Marcello B. Silva Neto,1,2000,2000,1,0,0
83,A.Taleb,1,1999,1999,1,0,0
84,A.Dobado,1,1999,1999,1,1,0
85,Emil T. Akhmedov,3,2001,2001,1.5,0,1
86,Guillaume Ovarlez,1,1999,1999,1,1,0
87,Alex Buchel,12,2003,2002,2.4,0,2
88,E. R. Bezerra de Mello,8,2003,2003,2,0,2
89,S. Lienart,1,2000,2000,1,0,0
90,M.Salizzoni,4,2002,2002,2,0,1
91,Shao-Xia Chen,3,2002,2002,3,1,1
92,Radovan Dermisek,1,2002,2002,1,0,0
93,N. D. Lambert,2,1999,1999,2,0,1
94,I. Filippov,2,2002,1999,1,0,1
95,Sahng-Kyoon Yoo,1,1999,1999,1,0,0
96,L. A. Ferreira,4,2002,1999,1,0,1
97,B. Basu-Mallick,6,2003,2002,1.5,1,2
98,Michael Dine,15,2003,1999,3,0,2
99,B.-D. Doerfel,1,1999,1999,1,0,0
100,R. Madden,2,1999,1999,2,0,1
101,L.V. Sabinin,1,2000,2000,1,0,0
102,V. Moretti,2,2003,2003,2,0,1
103,E. Sezgin,14,2002,2002,3.5,0,2
104,M. Frau,10,2002,2000,2.5,0,2
105,Hongsu Kim,7,2002,2002,1.75,0,2
106,M. Mojiri,2,2002,2001,1,0,1
107,Makoto Narita,1,2000,2000,1,0,0
108,J.M. Evans,1,2000,2000,1,1,0
109,Ivan Schmidt,1,2000,2000,1,0,0
110,R.C. Myers,4,2000,1999,2,0,1
111,A. K. Grant,1,1999,1999,1,1,0
112,Vladimir Dyadichev,1,2000,2000,1,0,0
113,Z.W. Chong,1,2002,2002,1,0,0
114,P. Forgacs,2,2002,2000,1,0,1
115,B.M.A.G. Piette,3,2001,2000,1.5,0,1
116,Nikolaos Irges,1,2000,2000,1,0,0
117,S. O. Saliu,26,2003,1999,5.2,0,2
118,Mariusz P. Dabrowski,4,2002,2002,1.3333333333333333,0,1
119,D.H. Tchrakian,11,2003,2002,2.2,0,2
120,S.E.Korenblit,1,1999,1999,1,0,0
121,Yoshihisa Ohshima,1,1999,1999,1,0,0
122,Shin Nakamura,5,2002,2000,1.6666666666666667,0,2
123,A. Mostafazadeh,3,2001,2000,1.5,0,1
124,Valeri V. Dvoeglazov,7,2002,1999,2.3333333333333335,0,2
125,Olivera Miskovic,2,2003,2003,2,0,1
126,Iouri Chepelev,6,2003,1999,1.5,0,2
127,K. Kleidis,1,2002,2002,1,0,0
128,Makoto Hiramoto,1,2002,2002,1,0,0
129,G. Jorjadze,1,2001,2001,1,0,0
130,E.M. Sahraoui,2,2002,2001,1,0,1
131,Juan Fernando Ospina Giraldo,4,2000,2000,4,0,1
132,Y. S. Volvovski,2,1999,1999,2,0,1
133,Joanna Gonera,1,2002,2002,1,0,0
134,Ren\'e Reinbacher,1,2001,2001,1,0,0
135,G.Sabella,1,2000,2000,1,0,0
136,Guillermo Arreaga,1,2000,2000,1,1,0
137,Marilyn E. Noz,1,1999,1999,1,0,0
138,Stuart Raby,1,2002,2002,1,0,0
139,V.A.Belinskii,1,1999,1999,1,0,0
140,Gordon Chan,2,2001,2001,2,0,1
141,P. M. Llatas,3,2001,1999,1.5,0,1
142,A.H.Rezaeian,1,2000,2000,1,0,0
143,Yasutaka Katagiri,1,2002,2002,1,0,0
144,Chung-Chieh Lee,1,2000,2000,1,0,0
145,I. Benkaddour,2,2001,2000,1,0,1
146,R.-J. Zhang,1,2001,2001,1,0,0
147,M.Trigiante,2,2001,1999,1,0,1
148,Yuji Sugawara,14,2003,2001,2.8,0,2
149,R.Kuriki,1,2000,2000,1,0,0
150,G.N.J. Ananos,1,2001,2001,1,0,0
151,M. P. Infante,2,1999,1999,2,0,1
152,Rahul Biswas,1,2003,2003,1,0,0
153,David Tepper,1,2003,2003,1,0,0
154,Mukund Rangamani andStephen Shenker,1,2000,2000,1,1,0
155,B. Bistrovic,1,2002,2002,1,1,0
156,G. Modanese,2,2000,2000,2,0,1
157,Paolo Budinich,4,2002,2001,1.3333333333333333,0,1
158,G. Vlasov,1,2000,2000,1,0,0
159,James Hockings,2,2002,2001,1,0,1
160,Costin Popescu,1,1999,1999,1,0,0
161,Sergio E. Joras,1,2001,2001,1,0,0
162,T. Shinohara,4,2001,2000,2,0,1
163,I.Pappa,1,2000,2000,1,1,0
164,Daniel Hernandez Ruiperez andShing-Tung Yau,1,2001,2001,1,0,0
165,Robert C. Myers,30,2003,2001,6,0,2
166,Witold Skiba,4,2002,1999,1.3333333333333333,0,1
167,A.G. Zorin,1,2001,2001,1,0,0
168,L.Rosa,1,2000,2000,1,0,0
169,G. Scarpetta,5,2002,2000,1.25,0,2
170,Andrei Zelnikov,1,2001,2001,1,0,0
171,Yorinori Saito,3,2001,2000,1.5,0,1
172,A.A.Sharapov,1,2002,2002,1,0,0
173,N Dadhich,1,2001,2001,1,1,0
174,Konstantinos Zoubos,1,2002,2002,1,0,0
175,P.F. Kelly,2,2002,2001,1,0,1
176,Manuel A. Cobas,1,2002,2002,1,0,0
177,M Tomaselli,1,2002,2002,1,1,0
178,Bartomeu Fiol,6,2002,2000,2,0,2
179,Soumitra SenGupta,8,2002,2001,4,0,2
180,Masayuki Sano,1,2000,2000,1,1,0
181,J.F. Cari\~nena,1,2001,2001,1,0,0
182,F.Fucito,2,2000,2000,2,0,1
183,Pavel Winternitz,1,2000,2000,1,0,0
184,I.A.B. Strachan,1,1999,1999,1,0,0
185,J.L. Jaramillo,2,2002,2001,1,1,1
186,N. Unal,1,2002,2002,1,0,0
187,H.Kaldass,1,2001,2001,1,0,0
188,Renzo Collina,1,1999,1999,1,0,0
189,B. Dolan,1,2000,2000,1,0,0
190,Anjan Kundu,4,2003,2002,1.3333333333333333,1,1
191,Chuan-Jie Zhu,15,2003,1999,3.75,0,2
192,Eok Kyun Lee,1,2002,2002,1,0,0
193,Tamiaki Yoneya,13,2003,1999,2.6,0,2
194,Noriko Nakayama,3,2002,2001,1.5,1,1
195,Shunsuke Teraguchi,2,2002,2001,1,0,1
196,M. C. Nemes,4,2003,2001,1.3333333333333333,0,1
197,D.A. Steer,2,2002,2002,2,0,1
198,K. A. Smolinski,1,2002,2002,1,0,0
199,Andreas Wipf,2,2001,2000,1,0,1
200,Mikhail Shifman,2,2000,1999,1,0,1
201,G.A. Diamandis,6,2002,2000,1.5,0,2
202,Hidenori Sonoda,7,2003,2000,1.75,1,2
203,H.J. Mosquera Cuesta,1,2002,2002,1,0,0
204,Costas Kounnas,6,2000,1999,3,0,2
205,Kasper Olsen,7,2000,2000,3.5,0,2
206,Michael L. Schmid,1,1999,1999,1,0,0
207,B.P. Kosyakov,2,2002,2002,2,0,1
208,Kuniharu Kubodera,1,2000,2000,1,0,0
209,Kostyantin Ilyenko,1,2001,2001,1,0,0
210,Stefano De Leo,1,2001,2001,1,0,0
211,D S McAnally,1,2000,2000,1,0,0
212,Z.F. Ezawa,1,2002,2002,1,1,0
213,Tatsu Takeuchi,4,2002,2002,2,0,1
214,K. D. Rothe,1,2001,2001,1,0,0
215,H. KhajehAzad,1,2002,2002,1,0,0
216,Jaume Gomis,15,2003,2000,3,0,2
217,Hidenori Takahashi,1,2002,2002,1,0,0
218,Petr Lavrov,2,2001,2001,2,0,1
219,Frederik Roose,6,2000,1999,3,0,2
220,Falk Bruckmann,5,2002,2000,2.5,0,2
221,Somdatta Bhattacharya,4,2002,2002,2,0,1
222,Yunseok Seo,1,2003,2003,1,0,0
223,Vladislav Popkov,1,2003,2003,1,1,0
224,M. Berkooz,1,1999,1999,1,0,0
225,R. Flume,4,2002,2001,1.3333333333333333,0,1
226,D.Yu. Grigoriev,1,2002,2002,1,0,0
227,J. Froehlich,3,2000,1999,1.5,0,1
228,Henri Ruegg,1,2003,2003,1,0,0
229,Tomas Ortin,7,2002,1999,2.3333333333333335,0,2
230,Akikazu Hashimoto,14,2003,1999,2.8,0,2
231,Ralf Sch\utzhold,1,2000,2000,1,0,0
232,E.C. Vagenas,2,2001,2000,1,0,1
233,Robert Marnelius,11,2001,2001,3.6666666666666665,0,2
234,Amine B. Hammou,3,2002,2002,1.5,0,1
235,Paul Watts,2,2000,1999,1,0,1
236,Qinghai Wang,1,2002,2002,1,0,0
237,David Nolland,7,2002,1999,1.75,0,2
238,Liu YuFen,1,1999,1999,1,0,0
239,M. Cavaglia',2,2002,2001,1,0,1
240,E.Andriyash,1,2002,2002,1,0,0
241,Philip DeBoer,2,2001,2000,1,0,1
242,F. G\ohmann,2,2002,1999,1,0,1
243,Saifuddin Rayyan,2,2002,2002,2,0,1
244,Umut Gursoy,3,2002,2002,3,0,1
245,R. F.Ribeiro,1,2001,2001,1,0,0
246,Malcolm Fairbairn,3,2002,2002,1.5,0,1
247,Massimo Blasone,6,2002,1999,1.5,0,2
248,N. S\'{a}nchez,1,2001,2001,1,0,0
249,Nurcan Ozturk,1,2001,2001,1,1,0
250,S. Wolf,2,2001,2000,1,0,1
251,P. H. Damgaard,1,2000,2000,1,0,0
252,T. Tomaras,1,2001,2001,1,1,0
253,J. Carbonell,6,2001,2001,3,0,2
254,S. Formanski,1,2001,2001,1,0,0
255,A.R. Mkrtchyan,1,2002,2002,1,0,0
256,Avraham E. Mayo,1,2001,2001,1,0,0
257,B.M. Zupnik,12,2003,2001,2.4,0,2
258,Kai Kratzert,1,2003,2003,1,1,0
259,Jaroslaw Mlynik,1,2002,2002,1,1,0
260,Takehisa Fujita,1,2002,2002,1,0,0
261,Florian Girelli,1,2000,2000,1,0,0
262,A. S. de Castro,1,2003,2003,1,0,0
263,S.P. Li,2,1999,1999,2,0,1
264,M. Olechowski,6,2003,2002,3,0,2
265,A. Bonanno,5,2003,2000,1.25,0,2
266,E. Kohlprath,3,2000,2000,3,0,1
267,Kurt Just,3,2000,2000,3,0,1
268,Luis Gonzalez-Mestres,2,2002,2002,2,0,1
269,J. Fr\ohlich,2,2000,1999,1,0,1
270,Andrei Parnachev,5,2002,2000,1.6666666666666667,0,2
271,M. Tahic,1,2002,2002,1,0,0
272,Kirill A. Kazakov,7,2002,2000,1.75,1,2
273,D. A. Steer,1,2000,2000,1,1,0
274,Yoshiyuki Watabiki,2,2003,2003,2,0,1
275,B. Durin,1,2003,2003,1,0,0
276,Jose Alexandre Nogueira,2,2002,2001,1,0,1
277,Alan Carey,1,1999,1999,1,0,0
278,Guillermo R. Zemba,1,2002,2002,1,0,0
279,A. Takahashi,1,1999,1999,1,0,0
280,P. Castelo Ferreira,4,2002,2000,1.3333333333333333,0,1
281,Holger Bech Nielsen,1,1999,1999,1,0,0
282,S. Iso,4,2000,1999,2,0,1
283,Ion V. Vancea,2,2000,1999,1,0,1
284,G.Scharf,1,1999,1999,1,1,0
285,W. Troost,1,2001,2001,1,0,0
286,Matthias Staudacher,7,2001,1999,2.3333333333333335,0,2
287,Martin Olsson,1,2002,2002,1,0,0
288,Kazuhiro Hikami,1,2001,2001,1,1,0
289,Vladimir Dotsenko,1,2002,2002,1,0,0
290,Peter Minkowski,2,2003,2002,1,0,1
291,A.S. Cornell,1,2002,2002,1,0,0
292,A.A. Saharian,1,2002,2002,1,0,0
293,J.J. van der Bij,2,2002,2000,1,0,1
294,A.Vicini,1,2002,2002,1,0,0
295,Gabriel Nagy,1,2000,2000,1,0,0
296,R.Wulkenhaar,3,2001,2000,1.5,0,1
297,Y. Aghababaie,3,2003,2003,1.5,0,1
298,StefanPokorski,1,2002,2002,1,0,0
299,P. Langfelder,1,2003,2003,1,0,0
300,Vladimir A.Kazakov,1,2003,2003,1,0,0
301,M. Ram'on Medrano,1,1999,1999,1,0,0
302,Amit Ghosh,2,2001,2000,1,0,1
303,Pinaki Roy,1,2002,2002,1,0,0
304,H.J. Rothe,3,1999,1999,3,0,1
305,Luis N. Epele,4,2001,2000,2,0,1
306,J. Menezes,2,2001,2001,2,0,1
307,Pietro Fr\'e,2,2002,2001,1,0,1
308,Igor Krichever,1,2001,2001,1,0,0
309,Paul Shocklee,1,2001,2001,1,1,0
310,M. Wellmann,2,2001,2001,2,0,1
311,Leonardo Castellani,3,2001,1999,1,0,1
312,J. Van der Jeugt,5,2003,2000,1.25,0,2
313,J.-S. Park,2,1999,1999,2,0,1
314,A. Wipf,6,2002,2000,2,0,2
315,A.J. da Silva,2,2002,1999,1,0,1
316,V.V. Nesterenko,11,2002,1999,2.75,0,2
317,Jianzhong Pan,1,2003,2003,1,0,0
318,L. Baulieu,2,2002,2001,1,0,1
319,P.M. Cowdall,1,2000,2000,1,0,0
320,G. Djordjevic,1,2001,2001,1,1,0
321,Hidetoshi Awata,1,1999,1999,1,0,0
322,H. Y. Cui,1,2001,2001,1,0,0
323,P. Dawson,3,2002,2002,1.5,0,1
324,E. Werner,1,1999,1999,1,1,0
325,V. L. Campos,1,2001,2001,1,0,0
326,Dirk Olivie,1,1999,1999,1,0,0
327,L.Castellani,1,2002,2002,1,0,0
328,F. Zamora,1,2001,2001,1,1,0
329,AnastasiaVolovich,1,1999,1999,1,1,0
330,M. Fabinger,1,2002,2002,1,0,0
331,R. M. Ellem,1,2002,2002,1,0,0
332,Barry R. Holstein,2,2002,2001,1,1,1
333,Benedicte Ponsot,4,2003,2002,2,0,1
334,C. Bagnuls,6,2001,2000,3,0,2
335,M. Revzen,3,2001,1999,1,0,1
336,P.N.Pyatov,1,1999,1999,1,0,0
337,Mikhail Shaposhnikov,8,2003,2000,2,0,2
338,Teruhiko Kawano,5,2001,1999,1.6666666666666667,0,2
339,K. Hasebe,1,2002,2002,1,1,0
340,Mauricio Contreras,2,1999,1999,2,0,1
341,R.D. Ball,1,2001,2001,1,0,0
342,A.Smailagic,6,2002,2000,1.5,0,2
343,Gonzalo Palma,2,2002,2001,1,1,1
344,Yi-hong Gao,4,2001,2001,1.3333333333333333,0,1
345,Antonio Aurilia,1,2002,2002,1,0,0
346,R.L. Jaffe,5,2003,1999,1.6666666666666667,1,2
347,Volker Schomerus,13,2002,2000,3.25,0,2
348,Edi Gava,4,2003,2002,1.3333333333333333,0,1
349,Carlos Leiva,3,2003,2003,1.5,0,1
350,Freddy P. Zen,1,1999,1999,1,0,0
351,Massimo Materassi,2,2000,1999,1,0,1
352,Alexander Cardona,1,2000,2000,1,0,0
353,Luis J. Boya,1,2003,2003,1,0,0
354,Igor Batalin,8,2003,2001,2.6666666666666665,0,2
355,Pablo Minces,5,2002,1999,1.6666666666666667,0,2
356,P. Butera,1,2001,2001,1,0,0
357,J.M. Aroca,1,1999,1999,1,0,0
358,J. J. Dugne,1,2003,2003,1,0,0
359,Stephen Shenker,5,2002,2002,2.5,0,2
360,Ji Sun,1,1999,1999,1,1,0
361,B. M. Gripaios,2,2003,2002,1,0,1
362,Stefan Waldmann,1,2003,2003,1,0,0
363,P. Kosinski,4,2001,2000,1.3333333333333333,0,1
364,A. Vainshtein,5,2002,2000,1.6666666666666667,0,2
365,J.Evslin,3,1999,1999,3,0,1
366,A.Y. Segal,1,2002,2002,1,0,0
367,Stefan Theisen,9,2002,2000,2.25,0,2
368,S. Rouhani,5,2002,2000,1.6666666666666667,0,2
369,Masamichi Sato,1,1999,1999,1,0,0
370,Jacob Sonnenschein,6,2002,2002,2,0,2
371,K. Aghababaei Samani,3,2001,2000,1.5,0,1
372,Jun Nishimura,4,2002,2001,1.3333333333333333,0,1
373,J.L.Miramontes,1,1999,1999,1,0,0
374,A Calogeracos,1,2000,2000,1,0,0
375,N. Magnoli,3,2000,1999,1.5,0,1
376,J. Teschner,10,2003,1999,2,0,2
377,M. Gutperle,1,2003,2003,1,0,0
378,A. Adams,1,2001,2001,1,0,0
379,Andrei G. Bytsko,3,2001,2000,1.5,0,1
380,Florian Gmeiner,1,2002,2002,1,0,0
381,M. Thies,1,2000,2000,1,0,0
382,Martin Gremm,6,2000,1999,3,0,2
383,L.Bonora,7,2002,2002,1.75,0,2
384,A. G. M. Pickering,1,1999,1999,1,0,0
385,Konstantinos Kyritsis,1,2003,2003,1,0,0
386,John McGreevy,14,2003,2001,2.8,0,2
387,Keiichi Akama,4,2000,2000,4,1,1
388,D.V.Uvarov,1,1999,1999,1,0,0
389,M.A. Lled\'o,1,2000,2000,1,0,0
390,Andrei G. Terekidi,1,2003,2003,1,1,0
391,R S Ward,1,2002,2002,1,0,0
392,Richard Madden,3,2001,1999,1,0,1
393,F. Mansouri,2,2000,1999,1,0,1
394,T.A. Larsson,1,2002,2002,1,0,0
395,Austin G. M. Pickering,1,2002,2002,1,0,0
396,Sree Ram Valluri,1,2001,2001,1,1,0
397,Rodrigo Aros,3,2002,2002,1.5,0,1
398,E. Deotto,1,2001,2001,1,0,0
399,A. Solovyov,2,2002,2000,1,0,1
400,Harald Nieder,3,2003,2000,1,0,1
401,P.Navarro,2,1999,1999,2,0,1
402,Z.G. Kuznetsova,1,2001,2001,1,0,0
403,Wen-Fa Lu,6,2002,1999,2,0,2
404,Heui-Seol Roh,1,2000,2000,1,1,0
405,I. Shapiro,1,1999,1999,1,0,0
406,O. Lisovy,1,2001,2001,1,0,0
407,W. S. Bae,3,2002,2000,1,1,1
408,K. H. C. Castello-Branco,1,2002,2002,1,0,0
409,L. C. Malacarne,2,2000,1999,1,0,1
410,Francesco D'Andrea,2,2002,2002,2,0,1
411,Xin-rui Hou,1,2001,2001,1,0,0
412,German Sierra,2,2001,1999,1,0,1
413,M A Grigoriev,2,1999,1999,2,0,1
414,P. Grange,2,2001,1999,1,0,1
415,A. Recknagel,5,2001,2000,1.6666666666666667,0,2
416,Kamal L. Panigrahi,3,2003,2001,1,0,1
417,Bihn Zhou,4,1999,1999,4,1,1
418,Juan Maldacena,20,2003,2000,4,0,2
419,F.A. Schaposnik,14,2002,2000,3.5,0,2
420,Karl-Georg Schlesinger,5,2002,2000,1.6666666666666667,0,2
421,Sakura Schafer-Nameki,2,2002,2001,1,0,1
422,A. Riazuelo,1,2001,2001,1,0,0
423,M. D. Scadron,1,2001,2001,1,0,0
424,Ulrich Theis,7,2003,1999,1.4,0,2
425,M. Blasone,1,2001,2001,1,1,0
426,Tomasz Brzezinski,1,1999,1999,1,0,0
427,Peter Kopietz,1,2000,2000,1,0,0
428,D. St\ockinger,1,2001,2001,1,1,0
429,Laurent Moyaerts,1,2002,2002,1,1,0
430,Dennis Bonatsos,1,1999,1999,1,0,0
431,M.Faber,1,1999,1999,1,0,0
432,A. Zaffaroni,18,2003,2000,3.6,0,2
433,V.I. Kuvshinov,2,2002,2002,2,1,1
434,A.C. Davis,5,2002,2002,2.5,0,2
435,S. G. Rajeev,7,2002,1999,2.3333333333333335,0,2
436,V. Mukhanov,2,2002,1999,1,0,1
437,S.S. Gubser,5,1999,1999,5,0,2
438,Swapna Mahapatra,3,2001,1999,1,0,1
439,Oleg Lebedev,4,2003,2003,1.3333333333333333,0,1
440,Terry Gannon,2,2002,2001,1,0,1
441,D.Kreimer,2,2000,1999,1,0,1
442,V. O. Rivelles,5,2002,2001,1.6666666666666667,0,2
443,J.-Pierre Derendinger,1,1999,1999,1,0,0
444,H.W.Braden,3,2000,1999,1.5,0,1
445,Mingliang Cai,2,2001,2000,1,0,1
446,T. Padmanabhan,4,2002,2002,2,0,1
447,Sergey A. Cherkis,5,2002,2000,1.25,0,2
448,Ian I.Kogan,1,2000,2000,1,0,0
449,A. Bilal,5,2003,2000,1.6666666666666667,0,2
450,A. S.Koshelev,1,2000,2000,1,0,0
451,Rune Niclasen,1,2000,2000,1,0,0
452,J.Ananias Neto,2,2001,2000,1,0,1
453,Amit Giveon,9,2003,2000,1.8,0,2
454,BillSpence,1,2001,2001,1,0,0
455,P.Suranyi,1,2002,2002,1,1,0
456,Vladimir V Klishevich,1,2000,2000,1,0,0
457,B. Dittrich,1,2002,2002,1,1,0
458,Hiroaki Kodama,1,1999,1999,1,0,0
459,Harvendra Singh,7,2002,2002,2.3333333333333335,0,2
460,Kyungsun Moon,1,2001,2001,1,1,0
461,M. Zagermann,1,2003,2003,1,0,0
462,E. Di Grezia,1,2003,2003,1,0,0
463,Igor P. Volobuev,2,2003,2002,1,0,1
464,Jian-gang Hao,6,2003,2002,3,0,2
465,Chang-Ho Kim,1,1999,1999,1,0,0
466,J.Teschner,1,2001,2001,1,0,0
467,Justo Lopez-Sarrion,1,2002,2002,1,0,0
468,R. B. MacKenzie,1,2001,2001,1,0,0
469,Lucio Fassarella,2,2001,2001,2,0,1
470,V.B. Petkova,7,2002,2000,2.3333333333333335,0,2
471,MichaelPlumacher,1,2002,2002,1,0,0
472,Zhanying Yang,1,2001,2001,1,0,0
473,D. C. Brydges,1,2002,2002,1,0,0
474,P.M. Petropoulos,2,2002,1999,1,0,1
475,Lilia Anguelova,1,2002,2002,1,0,0
476,R. Mansouri,5,2003,2002,1.25,0,2
477,F. Finkel,3,2002,2001,1.5,0,1
478,Claus Zahlten,1,2000,2000,1,0,0
479,J. M. Isidro,1,2000,2000,1,1,0
480,Jing Jiang,2,2001,2000,1,0,1
481,Vishnu Jejjala,6,2003,2000,2,0,2
482,K. Hosomichi,1,1999,1999,1,0,0
483,Jorge G. Russo,5,2003,1999,1.25,0,2
484,Nicola Grillo,6,1999,1999,6,1,2
485,F. Riccioni,1,2003,2003,1,0,0
486,Yong-Shi Wu,8,2001,2000,2.6666666666666665,0,2
487,B. B. Deo,6,2003,2002,1.5,0,2
488,M.R. Setare,11,2003,2002,3.6666666666666665,0,2
489,X. Bekaert,1,2002,2002,1,0,0
490,S. D. Avramis,1,2002,2002,1,1,0
491,Mahdi Golshani,1,2000,2000,1,0,0
492,Steven Willison,1,2002,2002,1,1,0
493,YonatanZunger,1,1999,1999,1,0,0
494,Jyh-Hao Lee,1,1999,1999,1,1,0
495,Jing Wang,7,2003,1999,1.75,0,2
496,I. Nandori,3,2002,1999,1,0,1
497,A. Laugier,1,2001,2001,1,1,0
498,Lusheng Chen,1,1999,1999,1,1,0
499,Andreas Bichl,1,2001,2001,1,0,0
500,F.Delduc,1,1999,1999,1,0,0
501,Enke Wang,1,2002,2002,1,0,0
502,Markus Luty,1,2001,2001,1,1,0
503,P D Jarvis,4,2001,2000,1.3333333333333333,0,1
504,S. Galice,1,2000,2000,1,0,0
505,Guan Jia,1,1999,1999,1,0,0
506,P. Hajicek,2,2000,2000,2,0,1
507,Indranil Mitra,2,2001,2000,1,0,1
508,Hideko Nagahiro,4,2002,1999,1,0,1
509,L. Feher,7,2002,1999,1.75,0,2
510,Inyong Cho,5,2003,2002,1.25,0,2
511,Laurent Nottale,2,2002,2001,1,0,1
512,A. Constandache,2,2002,2001,1,0,1
513,Gang Tian,1,2000,2000,1,0,0
514,Jorge Conde,3,2003,2003,1.5,0,1
515,Jeronimo Cortez,1,2002,2002,1,0,0
516,Amer Iqbal,14,2002,2002,3.5,0,2
517,Gesualdo Delfino,1,2001,2001,1,1,0
518,J. Garriga,2,2003,2000,1,0,1
519,P.N. Pyatovand I.T. Todorov,1,2000,2000,1,1,0
520,V.N.Zaikin,1,2000,2000,1,0,0
521,E. s. Tututi,1,2000,2000,1,1,0
522,Stephen F. Gull,2,2001,2001,2,0,1
523,Regina Maria Ricotta,7,2002,2001,1.75,0,2
524,D. Tsimpis,2,2003,2001,1,0,1
525,I.I. Kogan,4,2002,2001,2,0,1
526,Nelson Pinto Neto,1,2001,2001,1,0,0
527,Ugo Moschella,2,2001,1999,1,0,1
528,K.V. Shajesh,1,2001,2001,1,0,0
